facilityId,facilityName,siteAddress,streetNumber,streetDirection,streetName,streetType,streetUnit,city,state,zip,typeOfFacility,categoryOfFacility,inspectionType,inspectionDate,violationCode,violation,violationPoints,violationType,violationStatus,inspectionScore,location,concat_address,split_coords,google_coords
FA0003599,WONDER PRESS,946 PEARL ST,946,,PEARL,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/10/2019,FC40,Personal cleanliness,10,,Not Observed,10,"946 PEARL ST
BOULDER, CO 80302
(40.017337, -105.282676)",946 PEARL ST BOULDER CO USA,"40.017337, -105.282676","40.0169875,-105.282685"
FA0000931,ROSALEES PIZZERIA,461 MAIN ST,461,,MAIN,ST,,LONGMONT,CO,805015534,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/12/2019,FC21,Proper hot holding temperatures,20,Critical,Not Applicable,10,"461 MAIN ST
LONGMONT, CO 805015534
(40.166936, -105.102508)",461 MAIN ST LONGMONT CO USA,"40.166936, -105.102508","40.167029,-105.1028558"
FA0005408,SIMPLE GREEK #46 THE,520 W SOUTH BOULDER RD,520,W,SOUTH BOULDER,RD,,Lafayette,CO,80026,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/10/2019,FC39,"Contamination prevented during food preparation, storage & display",15,,In,25,"520 W SOUTH BOULDER RD
Lafayette, CO 80026
(39.986896, -105.096751)",520 W SOUTH BOULDER RD Lafayette CO USA,"39.986896, -105.096751","39.9865489,-105.0967752"
FA0002178,TIBET KITCHEN,2359 ARAPAHOE AVE,2359,,ARAPAHOE,AVE,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,8/7/2019,FC13,"Food in good condition, safe, & unadulterated",20,Critical,In,5,"2359 ARAPAHOE AVE
BOULDER, CO 80303
(40.014659, -105.263247)",2359 ARAPAHOE AVE BOULDER CO USA,"40.014659, -105.263247","40.0148771,-105.2633881"
FA0000036,ASIAN SEAFOOD MARKET,2833 28TH ST,2833,,28TH,ST,,BOULDER,CO,803011223,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,9/19/2019,FC05,Procedures for responding to vomiting and diarrheal events,5,Critical,,30,"2833 28TH ST
BOULDER, CO 803011223
(40.027892, -105.258395)",2833 28TH ST BOULDER CO USA,"40.027892, -105.258395","40.0279738,-105.2588537"
FA0002287,ZIGGIS COFFEE BAR,400 N MAIN ST,400,N,MAIN,ST,,LONGMONT,CO,80501,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,8/15/2017,14G,Premises Maintained,0,Non-Critical,Not Observed,15,"400 N MAIN ST
LONGMONT, CO 80501
(40.165902, -105.102513)",400 N MAIN ST LONGMONT CO USA,"40.165902, -105.102513","40.165896,-105.1022603"
FA0000185,SUBWAY,1335 SOUTH BOULDER RD,1335,,SOUTH BOULDER,RD,,LOUISVILLE,CO,800272301,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,3/7/2018,04A,Manual,0,Critical,In,0,"1335 SOUTH BOULDER RD
LOUISVILLE, CO 800272301",1335 SOUTH BOULDER RD LOUISVILLE CO USA,,"39.9873088,-105.1251189"
FA0002087,OBSERV LOCATION 2 (MOBILE),4333 CHEROKEE ST,4333,,CHEROKEE,ST,,DENVER,CO,80216,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,9/7/2019,FC42,Washing fruits & vegetables,15,,Not Observed,0,"4333 CHEROKEE ST
DENVER, CO 80216
(39.775946, -104.991322)",4333 CHEROKEE ST DENVER CO USA,"39.775946, -104.991322","39.7759045,-104.991597"
FA0001623,OREGANOS PIZZA BISTRO,2690 BASELINE RD,2690,,BASELINE,RD,,BOULDER,CO,80305,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/17/2019,FC48,"Warewashing facilities: installed, maintained, & used; test strips",5,,Not Observed,5,"2690 BASELINE RD
BOULDER, CO 80305
(40.000305, -105.260502)",2690 BASELINE RD BOULDER CO USA,"40.000305, -105.260502","39.9998565,-105.2604899"
FA0002021,LEVY FOLSOM FIELD HOT PREP KITCHEN 6TH FLOOR (CU),2400 COLORADO AVE RM 680,2400,,COLORADO,AVE,680,BOULDER,CO,80309,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/7/2019,FC32,Variance obtained for specialized processing methods,5,,Not Observed,0,"2400 COLORADO AVE RM 680
BOULDER, CO 80309
(40.008231, -105.264147)",2400 COLORADO AVE RM 680 BOULDER CO USA,"40.008231, -105.264147","40.0091912,-105.2669142"
FA0000326,GLACIER HOMEMADE ICE CREAM,3133 28TH ST,3133,,28TH,ST,,BOULDER,CO,803011315,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/10/2019,FC13,"Food in good condition, safe, & unadulterated",20,Critical,In,20,"3133 28TH ST
BOULDER, CO 803011315
(40.031559, -105.258422)",3133 28TH ST BOULDER CO USA,"40.031559, -105.258422","40.0315597,-105.2589744"
FA0000390,HAMPTON INN,850 S MAIN ST,850,S,MAIN,ST,,LONGMONT,CO,805016457,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/17/2019,FC28,"Toxic substances properly identified, stored & used",10,Critical,In,45,"850 S MAIN ST
LONGMONT, CO 805016457
(40.149201, -105.102507)",850 S MAIN ST LONGMONT CO USA,"40.149201, -105.102507","40.1492455,-105.101868"
FA0000278,FREDDYS FROZEN CUSTARD AND STEAKBURGERS,2250 N MAIN ST,2250,N,MAIN,ST,,LONGMONT,CO,805011419,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/10/2019,FC36,Thermometer provided & accurate,5,,Not Observed,25,"2250 N MAIN ST
LONGMONT, CO 805011419
(40.199147, -105.102471)",2250 N MAIN ST LONGMONT CO USA,"40.199147, -105.102471","40.1992957,-105.1020051"
FA0001161,SUBWAY,1801 HOVER RD,1801,,HOVER,RD,,LONGMONT,CO,805037182,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/17/2019,FC20,Proper cooling time and temperature,20,Critical,Not Observed,15,"1801 HOVER RD
LONGMONT, CO 805037182
(40.190415, -105.130926)",1801 HOVER RD LONGMONT CO USA,"40.190415, -105.130926","40.1899699,-105.1314004"
FA0000821,ZIGGIS COFFEE,1139 FRANCIS ST,1139,,FRANCIS,ST,,LONGMONT,CO,805013703,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,4/25/2014,03A,Cooling Methods,0,Critical,Not Applicable,0,"1139 FRANCIS ST
LONGMONT, CO 805013703
(40.178641, -105.116542)",1139 FRANCIS ST LONGMONT CO USA,"40.178641, -105.116542","40.1791422,-105.1170561"
FA0002019,LEVY FOLSOM FIELD COLD KITCHEN 6TH FLOOR (CU),2400 COLORADO AVE RM 604,2400,,COLORADO,AVE,604,BOULDER,CO,80309,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/7/2019,FC18,Proper cooking time & temperatures,25,Critical,Not Applicable,0,"2400 COLORADO AVE RM 604
BOULDER, CO 80309
(40.008231, -105.264147)",2400 COLORADO AVE RM 604 BOULDER CO USA,"40.008231, -105.264147","40.0091912,-105.2669142"
FA0000493,BUDDHA CAFE,2719 IRIS AVE,2719,,IRIS,AVE,,BOULDER,CO,803042433,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,5/2/2017,14A,Plumbing Installed Maintained,0,Non-Critical,Not Observed,105,"2719 IRIS AVE
BOULDER, CO 803042433
(40.036446, -105.260184)",2719 IRIS AVE BOULDER CO USA,"40.036446, -105.260184","40.0371291,-105.2601149"
FA0002839,ZIGGIS COFFEE,1729 HOVER ST,1729,,HOVER,ST,,LONGMONT,CO,80501,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,3/28/2017,08A,Properly Stored,0,Critical,In,70,"1729 HOVER ST
LONGMONT, CO 80501
(40.189298, -105.130921)",1729 HOVER ST LONGMONT CO USA,"40.189298, -105.130921","40.1891069,-105.1312063"
FA0002701,BUSEY BREWS,70 E FIRST ST,70,E,FIRST,ST,,NEDERLAND,CO,80466,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,6/12/2014,04C,In Place,0,Critical,Not Applicable,5,"70 E FIRST ST
NEDERLAND, CO 80466
(39.961883, -105.509365)",70 E FIRST ST NEDERLAND CO USA,"39.961883, -105.509365","39.9616936,-105.5093619"
FA0000649,INDIAN PEAKS GOLF COURSE AT LAFAYET,2300 INDIAN PEAKS TR,2300,,INDIAN PEAKS,TR,,LAFAYETTE,CO,800269375,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/6/2019,FC38,"Insects, rodents, & animals not present",10,,Not Observed,45,"2300 INDIAN PEAKS TR
LAFAYETTE, CO 800269375
(40.00227, -105.123205)",2300 INDIAN PEAKS TR LAFAYETTE CO USA,"40.00227, -105.123205","40.0067463,-105.1244908"
FA0000886,WAPOS,4929 N BROADWAY ST UNIT A,4929,N,BROADWAY,ST,A,BOULDER,CO,803040529,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/7/2019,FC31,Water & ice from approved source,20,,Not Observed,65,"4929 N BROADWAY ST UNIT A
BOULDER, CO 803040529
(40.064415, -105.282098)",4929 N BROADWAY ST UNIT A BOULDER CO USA,"40.064415, -105.282098","40.0642138,-105.2831881"
FA0004638,LONGS PEAK PUB & TAPHOUSE,600 LONGS PEAK AVE,600,,LONGS PEAK,AVE,,LONGMONT,CO,80501,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,8/8/2019,FC11,Food obtained from approved source,25,Critical,In,10,"600 LONGS PEAK AVE
LONGMONT, CO 80501
(40.170667, -105.103394)",600 LONGS PEAK AVE LONGMONT CO USA,"40.170667, -105.103394","40.171017,-105.1027816"
FA0004897,TACOS DEL NORTE (SPECIAL EVENT),3975 28TH ST,3975,,28TH,ST,,BOULDER,CO,80301,SPECIAL EVENT,SPECIAL EVENT,ROUTINE INSPECTION,4/15/2017,12D,Wiping Cloths,0,Non-Critical,Not Observed,0,"3975 28TH ST
BOULDER, CO 80301
(40.047001, -105.258577)",3975 28TH ST BOULDER CO USA,"40.047001, -105.258577","40.046821,-105.2615676"
FA0003769,BJS RESTAURANT,1690 28TH ST,1690,,28TH,ST,,BOULDER,CO,80301,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,2/1/2017,12A,Food Contact Surfaces Cleaning,0,Non-Critical,Not Observed,10,"1690 28TH ST
BOULDER, CO 80301
(40.017869, -105.258281)",1690 28TH ST BOULDER CO USA,"40.017869, -105.258281","40.0177299,-105.2577891"
FA0004519,SWEET COW,2628 BROADWAY ST,2628,,BROADWAY,ST,,BOULDER,CO,80304,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,5/6/2016,02A,Personnel With Infections Restricted,0,Critical,In,0,"2628 BROADWAY ST
BOULDER, CO 80304
(40.024766, -105.282044)",2628 BROADWAY ST BOULDER CO USA,"40.024766, -105.282044","40.0247479,-105.2811651"
FA0000399,HIDDEN CAFE,829 MAIN ST,829,,MAIN,ST,,LONGMONT,CO,805014954,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,7/6/2017,08C,Properly Used,0,Critical,In,60,"829 MAIN ST
LONGMONT, CO 805014954
(40.173391, -105.102492)",829 MAIN ST LONGMONT CO USA,"40.173391, -105.102492","40.1734733,-105.1028272"
FA0000738,3 MARGARITAS,2350 N MAIN ST,2350,N,MAIN,ST,,LONGMONT,CO,80501,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,2/21/2018,08B,Properly Labeled,0,Critical,In,90,"2350 N MAIN ST
LONGMONT, CO 80501
(40.201287, -105.102384)",2350 N MAIN ST LONGMONT CO USA,"40.201287, -105.102384","40.2013638,-105.101731"
FA0003737,BRAMBLE AND HARE,1970 13th ST,1970,,13th,ST,,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,1/31/2018,08C,Properly Used,0,Critical,In,70,"1970 13th ST
BOULDER, CO 80302
(40.017919, -105.2786)",1970 13th ST BOULDER CO USA,"40.017919, -105.2786","40.0179773,-105.2784201"
FA0001288,FOOLISH CRAIGS CAFE,1611 PEARL ST,1611,,PEARL,ST,,BOULDER,CO,803025410,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/5/2019,FC45,Single-use / single-service articles: properly stored & used,10,,In,15,"1611 PEARL ST
BOULDER, CO 803025410
(40.019048, -105.274408)",1611 PEARL ST BOULDER CO USA,"40.019048, -105.274408","40.01923,-105.2744535"
FA0000133,CAPITAL ONE CAFE,1247 PEARL ST,1247,,PEARL,ST,,BOULDER,CO,803025204,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,9/27/2019,FC08,Hands clean & properly washed,25,Critical,In,0,"1247 PEARL ST
BOULDER, CO 803025204
(40.018132, -105.278889)",1247 PEARL ST BOULDER CO USA,"40.018132, -105.278889","40.0182807,-105.2789394"
FA0004654,JACKLEGGERS MERCANTILE,62 UTICA ST,62,,UTICA,ST,,WARD,CO,80481,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,7/12/2018,02F,Training Needed,0,Critical,In,20,"62 UTICA ST
WARD, CO 80481
(40.072921, -105.506993)",62 UTICA ST WARD CO USA,"40.072921, -105.506993","40.0728334,-105.5068895"
FA0000033,IHOP 1836,1675 28TH ST,1675,,28TH,ST,,BOULDER,CO,803011001,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,10/17/2018,06B,Accessible,0,Critical,In,15,"1675 28TH ST
BOULDER, CO 803011001
(40.016344, -105.258459)",1675 28TH ST BOULDER CO USA,"40.016344, -105.258459","40.016358,-105.2589347"
FA0000135,BOULDER CORK THE,3295 30TH ST,3295,,30TH,ST,,BOULDER,CO,80301,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,11/12/2019,FC29,Compliance with variance / specialized process / HACCP,20,Critical,Not Applicable,30,"3295 30TH ST
BOULDER, CO 80301
(40.034605, -105.253691)",3295 30TH ST BOULDER CO USA,"40.034605, -105.253691","40.0344665,-105.2540941"
FA0003592,AOI,3303 30TH ST,3303,,30TH,ST,,BOULDER,CO,80301,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,2/15/2017,08C,Properly Used,0,Critical,In,70,"3303 30TH ST
BOULDER, CO 80301
(40.035468, -105.253681)",3303 30TH ST BOULDER CO USA,"40.035468, -105.253681","40.0352285,-105.2546915"
FA0002629,PEKOE SIP TEA HOUSE 4 @ ATLAS BLDG,1125 18TH ST,1125,,18TH,ST,,BOULDER,CO,80309,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/17/2014,08A,Properly Stored,0,Critical,In,15,"1125 18TH ST
BOULDER, CO 80309",1125 18TH ST BOULDER CO USA,,"40.0074416,-105.2699287"
FA0000844,TAQUERIA MADERO,830 LASHLEY ST UNIT A,830,,LASHLEY,ST,A,LONGMONT,CO,80501,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,10/8/2019,FC18,Proper cooking time & temperatures,25,Critical,In,15,"830 LASHLEY ST UNIT A
LONGMONT, CO 80501
(40.173475, -105.088302)",830 LASHLEY ST UNIT A LONGMONT CO USA,"40.173475, -105.088302","40.1732489,-105.0878986"
FA0003825,ETAIS AT CU,3415 COLORADO AVE,3415,,COLORADO,AVE,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/8/2019,FC14,"Required records available: shellstock tags, parasite destruction",10,Critical,Not Applicable,5,"3415 COLORADO AVE
BOULDER, CO 80303
(40.007442, -105.251046)",3415 COLORADO AVE BOULDER CO USA,"40.007442, -105.251046","40.008301,-105.2490525"
FA0002284,SMASHBURGER,2755 DAGNY WY UNIT 103,2755,,DAGNY,WY,103,LAFAYETTE,CO,80026,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,10/4/2019,FC32,Variance obtained for specialized processing methods,5,,Not Observed,0,"2755 DAGNY WY UNIT 103
LAFAYETTE, CO 80026
(40.012756, -105.131586)",2755 DAGNY WY UNIT 103 LAFAYETTE CO USA,"40.012756, -105.131586","40.0131102,-105.1315146"
FA0005391,SCROOGE MAKI 1 (MOBILE),1107 13TH ST,1107,,13TH,ST,,Boulder,CO,80302,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,10/8/2019,FC37,Food properly labeled; original container,10,,Not Observed,15,"1107 13TH ST
Boulder, CO 80302
(40.00758, -105.276228)",1107 13TH ST Boulder CO USA,"40.00758, -105.276228","40.0075099,-105.2764136"
FA0000106,BEN AND JERRYS,1203 PEARL ST,1203,,PEARL,ST,,BOULDER,CO,803025204,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,3/7/2018,02D,Hygienic Practices,0,Critical,In,25,"1203 PEARL ST
BOULDER, CO 803025204
(40.017918, -105.279967)",1203 PEARL ST BOULDER CO USA,"40.017918, -105.279967","40.0179937,-105.2798279"
FA0000843,TACO BELL #33848,2010 S KEN PRATT BLVD,2010,S,KEN PRATT,BLVD,,LONGMONT,CO,805017905,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/9/2019,FC42,Washing fruits & vegetables,15,,Not Observed,10,"2010 S KEN PRATT BLVD
LONGMONT, CO 805017905
(40.144579, -105.126289)",2010 S KEN PRATT BLVD LONGMONT CO USA,"40.144579, -105.126289","40.1448263,-105.126695"
FA0003324,LA BARATA,480 17TH AVE,480,,17TH,AVE,,LONGMONT,CO,80501,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,3/28/2018,05B,Hot and Cold Water Under Pressure,0,Critical,In,35,"480 17TH AVE
LONGMONT, CO 80501
(40.188567, -105.100332)",480 17TH AVE LONGMONT CO USA,"40.188567, -105.100332","40.188978,-105.1004638"
FA0004625,NAROPA CAFE/COMMUNITY TABLE KITCHEN,6287 ARAPAHOE AVE,6287,,ARAPAHOE,AVE,,BOULDER,CO,80303,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,10/9/2019,FC40,Personal cleanliness,10,,Not Observed,35,"6287 ARAPAHOE AVE
BOULDER, CO 80303",6287 ARAPAHOE AVE BOULDER CO USA,,"40.0159674,-105.2073664"
FA0001088,740 FRONT,740 FRONT ST,740,,FRONT,ST,,LOUISVILLE,CO,800271805,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,10/8/2019,FC05,Procedures for responding to vomiting and diarrheal events,5,Critical,,45,"740 FRONT ST
LOUISVILLE, CO 800271805
(39.977635, -105.130788)",740 FRONT ST LOUISVILLE CO USA,"39.977635, -105.130788","39.9776522,-105.1305096"
FA0002755,BRIDGE HOUSE,5345 ARAPAHOE RD UNIT 5,5345,,ARAPAHOE,RD,5,BOULDER,CO,80303,NO FEE LICENSE K12 SCHOOLS NON PROFIT,RESIDENTIAL FACILITIES,ROUTINE INSPECTION,10/9/2019,FC07,"No discharge from eyes, nose, and mouth",5,Critical,In,30,"5345 ARAPAHOE RD UNIT 5
BOULDER, CO 80303",5345 ARAPAHOE RD UNIT 5 BOULDER CO USA,,"40.0151638,-105.2288482"
FA0000230,TRAIN CARS COFFEE & YOGURT CO THE,101 S HWY 119 S,101,S,HWY 119,,,NEDERLAND,CO,80466,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,8/4/2016,14E,Ventilation,0,Non-Critical,Not Observed,25,"101 S HWY 119 S
NEDERLAND, CO 80466",101 S HWY 119 S NEDERLAND CO USA,,"39.9603842,-105.5101288"
FA0001253,BAWARCHI,390 S MCCASLIN BLVD,390,S,MCCASLIN,BLVD,,LOUISVILLE,CO,80027,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/11/2019,FC50,Hot & cold water available; adequate pressure,20,,In,65,"390 S MCCASLIN BLVD
LOUISVILLE, CO 80027
(39.964598, -105.163303)",390 S MCCASLIN BLVD LOUISVILLE CO USA,"39.964598, -105.163303","39.9644741,-105.1623089"
FA0002128,LAS PALMERAS EXPRESS,1640 PACE ST UNIT 400,1640,,PACE,ST,400,LONGMONT,CO,80504,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,4/5/2016,01D,HACCP Plan,0,Critical,Not Observed,40,"1640 PACE ST UNIT 400
LONGMONT, CO 80504
(40.187852, -105.074116)",1640 PACE ST UNIT 400 LONGMONT CO USA,"40.187852, -105.074116","40.187594,-105.0713434"
FA0004511,OZO COFFEE CAFE,1898 S FLATIRON CT UNIT 110,1898,S,FLATIRON,CT,110,BOULDER,CO,80301,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/11/2019,FC27,Food additives: approved & Properly used,20,Critical,Not Applicable,0,"1898 S FLATIRON CT UNIT 110
BOULDER, CO 80301
(40.019777, -105.21852)",1898 S FLATIRON CT UNIT 110 BOULDER CO USA,"40.019777, -105.21852","40.0204271,-105.2182589"
FA0000547,GAIA MASALA AND BURGER,1116 13TH ST,1116,,13TH,ST,,BOULDER,CO,803027081,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,5/12/2017,08A,Properly Stored,0,Critical,In,29,"1116 13TH ST
BOULDER, CO 803027081
(40.007635, -105.276227)",1116 13TH ST BOULDER CO USA,"40.007635, -105.276227","40.0076462,-105.2758206"
FA0000951,THE POST BREWING CO,105 W EMMA ST,105,W,EMMA,ST,,LAFAYETTE,CO,800261501,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,11/18/2019,FC20,Proper cooling time and temperature,20,Critical,,20,"105 W EMMA ST
LAFAYETTE, CO 800261501
(39.994274, -105.091262)",105 W EMMA ST LAFAYETTE CO USA,"39.994274, -105.091262","39.9945463,-105.0913171"
FA0000474,SAND WEDGE CAFE & BAR,5706 ARAPAHOE RD,5706,,ARAPAHOE,RD,,BOULDER,CO,80304,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,11/14/2019,FC10,Adequate handwashing sinks properly supplied and accessible,10,Critical,In,20,"5706 ARAPAHOE RD
BOULDER, CO 80304
(40.014574, -105.220496)",5706 ARAPAHOE RD BOULDER CO USA,"40.014574, -105.220496","40.0138709,-105.2111301"
FA0003703,SALTO COFFEE WORKS,112 E 2ND ST,112,E,2ND,ST,,NEDERLAND,CO,80466,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/15/2019,FC20,Proper cooling time and temperature,20,Critical,In,0,"112 E 2ND ST
NEDERLAND, CO 80466
(39.962556, -105.508243)",112 E 2ND ST NEDERLAND CO USA,"39.962556, -105.508243","39.9624353,-105.5083775"
FA0005283,SWEET COW MOBILE SOBO,669 S BROADWAY,669,S,BROADWAY,,,Boulder,CO,80305,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,6/6/2019,FC02,Certified Food Protection Manager,10,Critical,In,0,"669 S BROADWAY
Boulder, CO 80305
(39.983667, -105.248333)",669 S BROADWAY Boulder CO USA,"39.983667, -105.248333","39.9831228,-105.2495361"
FA0005421,SWEET COW MOBILE TEX,637 FRONT ST UNIT B,637,,FRONT,ST,B,Louisville,CO,80027,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,5/4/2019,FC28,"Toxic substances properly identified, stored & used",10,Critical,In,0,"637 FRONT ST UNIT B
Louisville, CO 80027
(39.976525, -105.130783)",637 FRONT ST UNIT B Louisville CO USA,"39.976525, -105.130783","39.9765788,-105.1311641"
FA0000879,TEN PIN ALLEY,550 W SOUTH BOULDER RD,550,W,SOUTH BOULDER,RD,,LAFAYETTE,CO,800262777,RESTAURANT 0 TO 100 SEATS,BARS FRATERNAL ORGANIZATIONS,ROUTINE INSPECTION,10/14/2019,FC34,Plant food properly cooked for hot holding,5,,Not Observed,55,"550 W SOUTH BOULDER RD
LAFAYETTE, CO 800262777
(39.986899, -105.09663)",550 W SOUTH BOULDER RD LAFAYETTE CO USA,"39.986899, -105.09663","39.9855702,-105.0973629"
FA0004652,FIREHOUSE SUBS,534 W SOUTH BOULDER RD UNIT D,534,W,SOUTH BOULDER,RD,D,LAFAYETTE,CO,80026,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/3/2019,FC39,"Contamination prevented during food preparation, storage & display",15,,Not Observed,10,"534 W SOUTH BOULDER RD UNIT D
LAFAYETTE, CO 80026
(39.986901, -105.096467)",534 W SOUTH BOULDER RD UNIT D LAFAYETTE CO USA,"39.986901, -105.096467","39.986639,-105.0972776"
FA0004821,BLACKJACK PIZZA,1108 FRANCIS ST,1108,,FRANCIS,ST,,Longmont,CO,80501,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/13/2016,02F,Training Needed,0,Critical,Not Observed,22,"1108 FRANCIS ST
Longmont, CO 80501
(40.177789, -105.116528)",1108 FRANCIS ST Longmont CO USA,"40.177789, -105.116528","40.1781292,-105.11607"
FA0003485,OZO COFFEE COMPANY,1015 PEARL ST UNIT L,1015,,PEARL,ST,L,BOULDER,CO,80302,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,10/14/2019,FC08,Hands clean & properly washed,25,Critical,In,10,"1015 PEARL ST UNIT L
BOULDER, CO 80302
(40.01746, -105.28209)",1015 PEARL ST UNIT L BOULDER CO USA,"40.01746, -105.28209","40.017564,-105.282169"
FA0001077,BOHEMIAN BIERGARTEN,2017 13TH ST,2017,,13TH,ST,,BOULDER,CO,803025201,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,9/9/2014,03F,Food Thermometer,0,Critical,In,15,"2017 13TH ST
BOULDER, CO 803025201
(40.018799, -105.278886)",2017 13TH ST BOULDER CO USA,"40.018799, -105.278886","40.0161719,-105.2778439"
