"facility_id","inspection_date","violation_category","lower"
"FA0000355","2013-07-03","poisons/toxins","properly labeled"
"FA0000355","2013-09-20","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000355","2015-03-23","personnel","smoking eating drinking"
"FA0000355","2015-03-23","personnel","no bare hand contact"
"FA0000355","2015-03-23","toilets/handwashing","accessible"
"FA0000355","2015-03-23","toilets/handwashing","soap and drying devices"
"FA0000355","2015-03-23","food temperature control","cold hold at 41 degrees or less"
"FA0000355","2018-10-30","personnel","smoking eating drinking"
"FA0000356","2013-01-02","poisons/toxins","properly stored"
"FA0000356","2013-01-02","personnel","training needed"
"FA0000356","2016-03-03","food temperature control","cold hold at 41 degrees or less"
"FA0000356","2016-03-03","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000356","2019-02-21","food labeling/protection","food separated and protected"
"FA0000356","2019-02-21","food temperature control","proper cold holding temperatures"
"FA0000359","2013-11-04","food labeling/protection","food protected from contamination"
"FA0000359","2013-11-04","food source","cross contamination"
"FA0000359","2013-11-04","water/sewage/plumbing","backflow back siphonage"
"FA0000359","2013-11-04","toilets/handwashing","adequate number location design"
"FA0000359","2013-11-04","food source","wholesome free of spoilage"
"FA0000359","2013-11-04","toilets/handwashing","accessible"
"FA0000359","2013-11-04","personnel","hygienic practices"
"FA0000359","2013-11-04","toilets/handwashing","soap and drying devices"
"FA0000359","2013-11-04","poisons/toxins","properly labeled"
"FA0000359","2013-11-04","water/sewage/plumbing","plumbing installed maintained"
"FA0000359","2016-05-06","food temperature control","cooling methods"
"FA0000359","2016-05-06","food temperature control","cold hold at 41 degrees or less"
"FA0000359","2016-05-06","food source","cross contamination"
"FA0000359","2016-05-06","water/sewage/plumbing","hot and cold water under pressure"
"FA0000359","2018-05-01","equipment/utensil cleaning","mechanical"
"FA0000359","2018-05-01","personnel","smoking eating drinking"
"FA0000359","2018-05-01","water/sewage/plumbing","plumbing installed maintained"
"FA0000359","2018-05-01","physical facilities","ventilation"
"FA0000359","2018-05-01","utensils","no reuse of single service articles"
"FA0000359","2018-05-01","physical facilities","floors walls ceilings"
"FA0000359","2018-05-01","water/sewage/plumbing","hot and cold water under pressure"
"FA0000359","2018-05-01","food labeling/protection","food protected from contamination"
"FA0000359","2018-05-01","equipment/utensil cleaning","wiping cloths"
"FA0000360","2014-04-08","poisons/toxins","properly stored"
"FA0000360","2014-04-08","poisons/toxins","properly labeled"
"FA0000360","2014-04-08","poisons/toxins","properly used"
"FA0000360","2016-07-19","food labeling/protection","food protected from contamination"
"FA0000360","2016-07-19","food temperature control","cold hold at 41 degrees or less"
"FA0000360","2016-07-19","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000360","2016-07-19","poisons/toxins","properly labeled"
"FA0000360","2016-07-19","physical facilities","floors walls ceilings"
"FA0000360","2016-07-19","food temperature control","refrigeration units with accurate thermometers"
"FA0000364","2015-03-11","poisons/toxins","properly labeled"
"FA0000364","2015-03-11","personnel","hygienic practices"
"FA0000364","2016-02-03","food source","wholesome free of spoilage"
"FA0000364","2016-02-03","poisons/toxins","properly labeled"
"FA0000364","2017-09-14","personnel","training needed"
"FA0000364","2017-09-14","personnel","hygienic practices"
"FA0000364","2017-09-14","personnel","smoking eating drinking"
"FA0000364","2017-09-14","food labeling/protection","food protected from contamination"
"FA0000364","2017-09-14","food temperature control","food thermometer"
"FA0000365","2013-02-15","food temperature control","cold hold at 41 degrees or less"
"FA0000365","2014-03-11","toilets/handwashing","soap and drying devices"
"FA0000365","2014-03-11","food temperature control","cold hold at 41 degrees or less"
"FA0000365","2014-03-11","equipment design/contstruction","non-food contact surfaces construction"
"FA0000365","2014-03-11","personnel","smoking eating drinking"
"FA0000365","2014-03-11","food labeling/protection","food protected from contamination"
"FA0000365","2014-03-11","poisons/toxins","properly labeled"
"FA0000365","2014-03-11","utensils","no reuse of single service articles"
"FA0000365","2014-03-11","personnel","no bare hand contact"
"FA0000365","2016-11-07","food source","cross contamination"
"FA0000365","2016-11-07","toilets/handwashing","soap and drying devices"
"FA0000365","2016-11-07","food source","consumer advisory"
"FA0000365","2016-11-07","poisons/toxins","properly labeled"
"FA0000365","2016-11-07","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000365","2016-11-07","personnel","training needed"
"FA0000365","2017-05-11","personnel","smoking eating drinking"
"FA0000365","2017-11-09","personnel","smoking eating drinking"
"FA0000365","2017-11-09","poisons/toxins","properly labeled"
"FA0000365","2019-02-20","personnel","certified food protection manager"
"FA0000365","2019-02-20","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000371","2014-02-19","food temperature control","cold hold at 41 degrees or less"
"FA0000371","2014-02-19","toilets/handwashing","soap and drying devices"
"FA0000371","2014-02-19","water/sewage/plumbing","hot and cold water under pressure"
"FA0000371","2016-04-26","food temperature control","cold hold at 41 degrees or less"
"FA0000371","2016-04-26","pest control","evidence of insects or rodents"
"FA0000371","2016-04-26","toilets/handwashing","soap and drying devices"
"FA0000371","2019-03-07","personnel","hands clean & properly washed"
"FA0000371","2019-03-07","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000371","2019-03-07","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000371","2019-03-07","food labeling/protection","food separated and protected"
"FA0000372","2013-09-04","toilets/handwashing","adequate number location design"
"FA0000372","2013-09-04","water/sewage/plumbing","sewage disposal"
"FA0000372","2016-11-16","personnel","hands washed as needed"
"FA0000372","2016-11-16","food temperature control","cold hold at 41 degrees or less"
"FA0000372","2016-11-16","personnel","smoking eating drinking"
"FA0000372","2016-11-16","food source","haccp plan"
"FA0000372","2016-11-16","personnel","no bare hand contact"
"FA0000372","2016-11-16","personnel","hygienic practices"
"FA0000372","2019-02-01","food source","compliance with variance / specialized process / haccp"
"FA0000372","2019-02-01","poisons/toxins","toxic substances properly identified, stored & used"
"FA0000372","2019-02-01","personnel","proper eating, tasting, drinking, or tobacco use"
"FA0000372","2019-02-01","food source","required records available: shellstock tags, parasite destruction"
"FA0000375","2015-01-29","personnel","training needed"
"FA0000375","2015-01-29","personnel","hands washed as needed"
"FA0000375","2016-09-23","equipment design/contstruction","non-food contact surfaces construction"
"FA0000375","2016-09-23","physical facilities","floors walls ceilings"
"FA0000375","2016-09-23","food temperature control","cold hold at 41 degrees or less"
"FA0000378","2015-07-10","personnel","training needed"
"FA0000378","2015-07-10","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000384","2018-05-16","food temperature control","adequate equipment to maintain food temperatures"
"FA0000384","2018-05-16","food temperature control","cold hold at 41 degrees or less"
"FA0000384","2018-05-16","water/sewage/plumbing","backflow back siphonage"
"FA0000384","2018-05-16","equipment design/contstruction","food-contact surfaces construction"
"FA0000384","2018-05-16","food labeling/protection","food protected from contamination"
"FA0000384","2018-08-06","food temperature control","cold hold at 41 degrees or less"
"FA0000386","2014-04-29","equipment/utensil cleaning","manual"
"FA0000386","2014-04-29","personnel","training needed"
"FA0000386","2017-03-10","pest control","pesticide application"
"FA0000386","2017-03-10","personnel","training needed"
"FA0000386","2018-03-02","water/sewage/plumbing","plumbing installed maintained"
"FA0000386","2018-03-02","physical facilities","floors walls ceilings"
"FA0000386","2018-03-02","personnel","smoking eating drinking"
"FA0000386","2018-03-02","toilets/handwashing","adequate number location design"
"FA0000386","2018-03-02","equipment design/contstruction","non-food contact surfaces construction"
"FA0000386","2018-03-02","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000387","2013-08-13","personnel","smoking eating drinking"
"FA0000387","2013-08-13","personnel","hygienic practices"
"FA0000387","2013-08-13","toilets/handwashing","soap and drying devices"
"FA0000387","2014-12-11","physical facilities","lighting"
"FA0000387","2014-12-11","personnel","smoking eating drinking"
"FA0000387","2014-12-11","food temperature control","adequate equipment to maintain food temperatures"
"FA0000387","2014-12-11","food temperature control","cold hold at 41 degrees or less"
"FA0000387","2014-12-11","food labeling/protection","food protected from contamination"
"FA0000387","2014-12-11","physical facilities","floors walls ceilings"
"FA0000387","2014-12-11","equipment design/contstruction","non-food contact surfaces construction"
"FA0000387","2015-04-29","personnel","smoking eating drinking"
"FA0000387","2017-04-14","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000387","2017-04-14","poisons/toxins","properly labeled"
"FA0000387","2017-04-14","personnel","smoking eating drinking"
"FA0000387","2019-01-15","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000387","2019-01-15","poisons/toxins","toxic substances properly identified, stored & used"
"FA0000387","2019-01-15","food source","proper date marking and disposition"
"FA0000389","2014-01-30","physical facilities","floors walls ceilings"
"FA0000389","2014-01-30","equipment design/contstruction","food-contact surfaces construction"
"FA0000389","2014-01-30","food source","wholesome free of spoilage"
"FA0000389","2014-01-30","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000389","2014-01-30","equipment design/contstruction","non-food contact surfaces construction"
"FA0000389","2016-07-14","food temperature control","adequate equipment to maintain food temperatures"
"FA0000389","2016-07-14","food temperature control","cold hold at 41 degrees or less"
"FA0000389","2016-07-14","food temperature control","food thermometer"
"FA0000389","2019-03-29","food temperature control","proper cold holding temperatures"
"FA0000389","2019-03-29","food source","proper date marking and disposition"
"FA0000389","2019-03-29","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000389","2019-03-29","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000390","2016-10-04","food temperature control","cold hold at 41 degrees or less"
"FA0000390","2016-10-04","personnel","hygienic practices"
"FA0000390","2016-10-04","food temperature control","food thermometer"
"FA0000390","2019-09-17","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000390","2019-09-17","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000390","2019-09-17","food temperature control","proper cold holding temperatures"
"FA0000390","2019-09-17","personnel","certified food protection manager"
"FA0000391","2013-11-06","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000391","2013-11-06","physical facilities","floors walls ceilings"
"FA0000391","2013-11-06","food labeling/protection","food protected from contamination"
"FA0000391","2016-02-26","food labeling/protection","food protected from contamination"
"FA0000391","2016-02-26","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000391","2016-02-26","physical facilities","locker rooms"
"FA0000391","2016-02-26","personnel","smoking eating drinking"
"FA0000391","2019-05-14","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000391","2019-05-14","food labeling/protection","food separated and protected"
"FA0000391","2019-05-14","food temperature control","proper cold holding temperatures"
"FA0000391","2019-05-14","personnel","certified food protection manager"
"FA0000392","2013-06-12","personnel","hands washed as needed"
"FA0000392","2013-06-12","poisons/toxins","properly labeled"
"FA0000392","2013-06-12","personnel","training needed"
"FA0000392","2016-02-22","personnel","hygienic practices"
"FA0000392","2019-06-18","food temperature control","proper cold holding temperatures"
"FA0000392","2019-06-18","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000394","2013-01-02","water/sewage/plumbing","hot and cold water under pressure"
"FA0000394","2017-02-23","toilets/handwashing","soap and drying devices"
"FA0000394","2017-02-23","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000394","2017-02-23","physical facilities","premises maintained"
"FA0000394","2017-02-23","physical facilities","floors walls ceilings"
"FA0000396","2015-02-17","equipment design/contstruction","food-contact surfaces construction"
"FA0000396","2015-02-17","physical facilities","floors walls ceilings"
"FA0000396","2015-02-17","food source","cross contamination"
"FA0000396","2015-02-17","personnel","smoking eating drinking"
"FA0000396","2015-02-17","food labeling/protection","food protected from contamination"
"FA0000396","2017-09-14","food source","cross contamination"
"FA0000396","2017-09-14","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000396","2019-06-11","personnel","certified food protection manager"
"FA0000396","2019-06-11","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000396","2019-06-11","food labeling/protection","food separated and protected"
"FA0000396","2019-06-11","food temperature control","proper cold holding temperatures"
"FA0000396","2019-06-11","food source","consumer advisory provided for raw/undercooked food"
"FA0000396","2019-06-11","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000399","2014-07-11","food source","consumer advisory"
"FA0000399","2014-07-11","equipment/utensil cleaning","mechanical"
"FA0000399","2014-07-11","food source","cross contamination"
"FA0000399","2017-07-06","personnel","smoking eating drinking"
"FA0000399","2017-07-06","personnel","hands washed as needed"
"FA0000399","2017-07-06","poisons/toxins","properly labeled"
"FA0000399","2017-07-06","personnel","hygienic practices"
"FA0000399","2017-07-06","water/sewage/plumbing","hot and cold water under pressure"
"FA0000399","2017-07-06","poisons/toxins","properly stored"
"FA0000401","2013-05-07","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000401","2013-05-07","food temperature control","cold hold at 41 degrees or less"
"FA0000401","2013-05-07","equipment design/contstruction","non-food contact surfaces construction"
"FA0000401","2013-05-07","food labeling/protection","food protected from contamination"
"FA0000401","2013-05-07","physical facilities","floors walls ceilings"
"FA0000401","2013-05-07","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000401","2013-05-07","personnel","hands washed as needed"
"FA0000401","2013-05-07","water/sewage/plumbing","backflow back siphonage"
"FA0000401","2013-05-07","water/sewage/plumbing","plumbing installed maintained"
"FA0000401","2013-05-07","equipment design/contstruction","food-contact surfaces construction"
"FA0000401","2013-05-07","physical facilities","locker rooms"
"FA0000401","2013-05-07","water/sewage/plumbing","hot and cold water under pressure"
"FA0000401","2013-05-07","personnel","smoking eating drinking"
"FA0000401","2013-05-07","utensils","single service articles stored dispensed used"
"FA0000401","2015-01-08","physical facilities","floors walls ceilings"
"FA0000401","2015-01-08","equipment design/contstruction","non-food contact surfaces construction"
"FA0000401","2015-01-08","food labeling/protection","food protected from contamination"
"FA0000401","2015-01-08","food labeling/protection","original container properly labeled"
"FA0000401","2015-01-08","food source","consumer advisory"
"FA0000401","2015-01-08","equipment/utensil cleaning","chemical test kits provided accessible"
"FA0000401","2017-08-22","food temperature control","adequate equipment to maintain food temperatures"
"FA0000401","2017-08-22","poisons/toxins","properly labeled"
"FA0000401","2017-08-22","food temperature control","cold hold at 41 degrees or less"
"FA0000401","2017-08-22","toilets/handwashing","soap and drying devices"
"FA0000402","2014-05-29","food temperature control","cold hold at 41 degrees or less"
"FA0000402","2014-05-29","food temperature control","adequate equipment to maintain food temperatures"
"FA0000402","2016-08-04","pest control","pesticide application"
"FA0000402","2016-08-04","personnel","hygienic practices"
"FA0000402","2018-07-12","equipment/utensil cleaning","manual"
"FA0000402","2018-07-12","water/sewage/plumbing","hot and cold water under pressure"
"FA0000406","2014-04-02","water/sewage/plumbing","backflow back siphonage"
"FA0000406","2014-04-02","equipment design/contstruction","non-food contact surfaces construction"
"FA0000406","2016-06-16","toilets/handwashing","soap and drying devices"
"FA0000406","2016-06-16","personnel","smoking eating drinking"
"FA0000406","2017-10-11","personnel","hygienic practices"
"FA0000406","2019-03-07","equipment/utensil cleaning","food contact surfaces; cleaned & sanitized"
"FA0000406","2019-03-07","personnel","hands clean & properly washed"
"FA0000406","2019-03-07","food temperature control","proper cold holding temperatures"
"FA0000406","2019-03-07","water/sewage/plumbing","plumbing installed; proper backflow devices"
"FA0000407","2014-06-24","toilets/handwashing","soap and drying devices"
"FA0000407","2014-06-24","personnel","hygienic practices"
"FA0000407","2016-05-19","food source","haccp plan"
"FA0000407","2017-11-29","food temperature control","cold hold at 41 degrees or less"
"FA0000407","2017-11-29","food temperature control","adequate equipment to maintain food temperatures"
"FA0000407","2017-11-29","equipment/utensil cleaning","manual"
"FA0000411","2015-08-17","poisons/toxins","properly labeled"
"FA0000411","2015-08-17","food source","wholesome free of spoilage"
"FA0000411","2015-08-17","food temperature control","cold hold at 41 degrees or less"
"FA0000411","2015-08-17","personnel","hygienic practices"
"FA0000411","2015-08-17","food source","consumer advisory"
"FA0000411","2018-03-19","food source","cross contamination"
"FA0000411","2018-03-19","toilets/handwashing","soap and drying devices"
"FA0000411","2018-03-19","food temperature control","food thermometer"
"FA0000411","2019-06-11","personnel","certified food protection manager"
"FA0000411","2019-06-11","food labeling/protection","food separated and protected"
"FA0000411","2019-06-11","food source","consumer advisory provided for raw/undercooked food"
"FA0000411","2019-06-11","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000414","2013-10-28","poisons/toxins","properly labeled"
"FA0000414","2013-10-28","food temperature control","cold hold at 41 degrees or less"
"FA0000414","2013-10-28","personnel","training needed"
"FA0000414","2013-10-28","food source","wholesome free of spoilage"
"FA0000414","2013-10-28","personnel","smoking eating drinking"
"FA0000414","2013-10-28","poisons/toxins","properly used"
"FA0000414","2013-10-28","personnel","hygienic practices"
"FA0000414","2016-05-26","water/sewage/plumbing","hot and cold water under pressure"
"FA0000414","2016-05-26","personnel","personnel: clean clothes hair restraints authorizat"
"FA0000414","2018-02-16","food temperature control","cold hold at 41 degrees or less"
"FA0000414","2018-02-16","poisons/toxins","properly labeled"
"FA0000414","2018-02-16","personnel","smoking eating drinking"
"FA0000414","2018-02-16","food source","cross contamination"
"FA0000414","2018-02-16","personnel","no bare hand contact"
"FA0000416","2013-09-26","food source","wholesome free of spoilage"
"FA0000416","2013-09-26","food temperature control","cooling methods"
"FA0000416","2013-09-26","toilets/handwashing","soap and drying devices"
"FA0000416","2013-09-26","food source","consumer advisory"
"FA0000416","2013-09-26","food temperature control","cold hold at 41 degrees or less"
"FA0000416","2013-09-26","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000416","2016-02-29","water/sewage/plumbing","hot and cold water under pressure"
"FA0000416","2016-02-29","personnel","smoking eating drinking"
"FA0000416","2016-02-29","food temperature control","cold hold at 41 degrees or less"
"FA0000416","2016-02-29","food source","cross contamination"
"FA0000416","2016-02-29","food source","wholesome free of spoilage"
"FA0000416","2016-02-29","toilets/handwashing","accessible"
"FA0000416","2016-12-19","water/sewage/plumbing","hot and cold water under pressure"
"FA0000416","2016-12-19","food temperature control","cold hold at 41 degrees or less"
"FA0000416","2016-12-19","personnel","smoking eating drinking"
"FA0000416","2016-12-19","toilets/handwashing","soap and drying devices"
"FA0000416","2016-12-19","poisons/toxins","properly labeled"
"FA0000416","2016-12-19","personnel","hygienic practices"
"FA0000416","2016-12-19","personnel","hands washed as needed"
"FA0000418","2017-02-02","food source","cross contamination"
"FA0000418","2017-02-02","equipment design/contstruction","non-food contact surfaces construction"
"FA0000418","2017-02-02","personnel","hygienic practices"
"FA0000418","2017-02-02","personnel","smoking eating drinking"
"FA0000418","2017-02-02","personnel","hands washed as needed"
"FA0000418","2017-02-02","food temperature control","rapidly reheat to 165 degrees or greater"
"FA0000418","2017-08-08","personnel","hygienic practices"
"FA0000418","2017-08-08","toilets/handwashing","accessible"
"FA0000421","2013-08-05","toilets/handwashing","soap and drying devices"
"FA0000421","2013-08-05","food source","wholesome free of spoilage"
"FA0000421","2013-08-05","pest control","evidence of insects or rodents"
"FA0000421","2013-08-05","food temperature control","cold hold at 41 degrees or less"
"FA0000421","2016-05-23","personnel","hands washed as needed"
"FA0000421","2016-05-23","personnel","no bare hand contact"
"FA0000421","2016-05-23","water/sewage/plumbing","backflow back siphonage"
"FA0000421","2016-05-23","food temperature control","cold hold at 41 degrees or less"
"FA0000421","2016-05-23","toilets/handwashing","soap and drying devices"
"FA0000421","2016-05-23","personnel","smoking eating drinking"
"FA0000421","2016-05-23","personnel","hygienic practices"
"FA0000421","2017-04-18","food temperature control","cold hold at 41 degrees or less"
"FA0000432","2016-02-10","food source","cross contamination"
"FA0000432","2016-02-10","equipment/utensil cleaning","mechanical"
"FA0000432","2017-09-27","water/sewage/plumbing","plumbing installed maintained"
"FA0000432","2017-09-27","equipment/utensil cleaning","mechanical"
"FA0000432","2017-09-27","food labeling/protection","food protected from contamination"
"FA0000435","2014-04-16","food source","cross contamination"
"FA0000435","2014-04-16","food temperature control","cold hold at 41 degrees or less"
"FA0000435","2016-09-15","food temperature control","cold hold at 41 degrees or less"
"FA0000435","2016-09-15","food temperature control","adequate equipment to maintain food temperatures"
"FA0000435","2016-09-15","personnel","training needed"
"FA0000435","2016-09-15","personnel","smoking eating drinking"
"FA0000435","2016-12-21","physical facilities","lighting"
"FA0000435","2016-12-21","toilets/handwashing","soap and drying devices"
"FA0000435","2016-12-21","food temperature control","cold hold at 41 degrees or less"
"FA0000435","2016-12-21","personnel","hands washed as needed"
"FA0000435","2016-12-21","food temperature control","refrigeration units with accurate thermometers"
"FA0000435","2016-12-21","water/sewage/plumbing","backflow back siphonage"
"FA0000435","2016-12-21","poisons/toxins","properly stored"
"FA0000435","2016-12-21","food temperature control","cooling methods"
"FA0000435","2016-12-21","food labeling/protection","food protected from contamination"
"FA0000435","2016-12-21","food temperature control","adequate equipment to maintain food temperatures"
"FA0000435","2016-12-21","equipment design/contstruction","food-contact surfaces construction"
"FA0000435","2016-12-21","utensils","single service articles stored dispensed used"
"FA0000435","2016-12-21","food source","cross contamination"
"FA0000435","2017-07-27","food temperature control","cold hold at 41 degrees or less"
"FA0000435","2017-07-27","personnel","no bare hand contact"
"FA0000435","2017-07-27","water/sewage/plumbing","plumbing installed maintained"
"FA0000435","2018-01-31","poisons/toxins","properly labeled"
"FA0000435","2018-01-31","equipment/utensil cleaning","mechanical"
"FA0000435","2019-02-20","food source","proper date marking and disposition"
"FA0000435","2019-02-20","personnel","certified food protection manager"
"FA0000435","2019-02-20","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000435","2019-02-20","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000435","2019-11-07","water/sewage/plumbing","hot & cold water available; adequate pressure"
"FA0000435","2019-11-07","personnel","certified food protection manager"
"FA0000436","2014-01-09","water/sewage/plumbing","backflow back siphonage"
"FA0000436","2017-02-01","food source","haccp plan"
"FA0000436","2017-02-01","personnel","smoking eating drinking"
"FA0000436","2017-12-28","water/sewage/plumbing","plumbing installed maintained"
"FA0000436","2019-12-12","equipment/utensil cleaning","food contact surfaces; cleaned & sanitized"
"FA0000436","2019-12-12","personnel","hands clean & properly washed"
"FA0000436","2019-12-12","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000436","2019-12-12","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000436","2019-12-12","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000442","2013-09-25","food temperature control","cold hold at 41 degrees or less"
"FA0000442","2013-09-25","food temperature control","adequate equipment to maintain food temperatures"
"FA0000442","2015-02-24","physical facilities","premises maintained"
"FA0000442","2015-02-24","food labeling/protection","original container properly labeled"
"FA0000442","2015-02-24","food source","wholesome free of spoilage"
"FA0000442","2018-12-14","food temperature control","cold hold at 41 degrees or less"
"FA0000443","2013-03-07","personnel","no bare hand contact"
"FA0000443","2016-03-03","food source","approved source"
"FA0000443","2016-03-03","personnel","smoking eating drinking"
"FA0000443","2016-03-03","food temperature control","cold hold at 41 degrees or less"
"FA0000443","2016-03-03","food temperature control","food thermometer"
"FA0000443","2018-08-09","toilets/handwashing","accessible"
"FA0000443","2018-08-09","poisons/toxins","properly labeled"
"FA0000443","2018-08-09","personnel","smoking eating drinking"
"FA0000443","2018-08-09","water/sewage/plumbing","backflow back siphonage"
"FA0000443","2018-08-09","food temperature control","cold hold at 41 degrees or less"
"FA0000443","2018-08-09","food temperature control","cooling methods"
"FA0000443","2018-08-09","food source","cross contamination"
"FA0000443","2019-09-04","personnel","certified food protection manager"
"FA0000443","2019-09-04","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000443","2019-09-04","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000443","2019-09-04","food source","proper date marking and disposition"
"FA0000443","2019-09-04","personnel","hands clean & properly washed"
"FA0000445","2013-08-21","water/sewage/plumbing","backflow back siphonage"
"FA0000445","2013-08-21","personnel","smoking eating drinking"
"FA0000445","2014-06-16","personnel","hygienic practices"
"FA0000445","2014-06-16","food source","cross contamination"
"FA0000445","2014-06-16","food source","consumer advisory"
"FA0000445","2014-06-16","personnel","smoking eating drinking"
"FA0000445","2014-06-16","water/sewage/plumbing","backflow back siphonage"
"FA0000445","2016-10-06","toilets/handwashing","soap and drying devices"
"FA0000445","2016-10-06","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000445","2016-10-06","toilets/handwashing","accessible"
"FA0000445","2016-10-06","food temperature control","cooling methods"
"FA0000445","2016-10-06","food temperature control","cold hold at 41 degrees or less"
"FA0000445","2016-10-06","personnel","hands washed as needed"
"FA0000445","2016-10-06","personnel","smoking eating drinking"
"FA0000445","2016-10-06","personnel","training needed"
"FA0000445","2016-10-06","food temperature control","food thermometer"
"FA0000445","2017-07-05","food temperature control","cold hold at 41 degrees or less"
"FA0000445","2018-09-12","food temperature control","cold hold at 41 degrees or less"
"FA0000445","2018-09-12","water/sewage/plumbing","backflow back siphonage"
"FA0000445","2019-04-17","food temperature control","proper cold holding temperatures"
"FA0000445","2019-04-17","personnel","procedures for responding to vomiting and diarrheal events"
"FA0000445","2019-04-17","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000445","2019-11-14","water/sewage/plumbing","plumbing installed; proper backflow devices"
"FA0000445","2019-11-14","food temperature control","approved thawing methods used"
"FA0000445","2019-11-14","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000447","2013-01-10","water/sewage/plumbing","hot and cold water under pressure"
"FA0000447","2013-01-10","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000447","2013-01-10","poisons/toxins","properly stored"
"FA0000447","2013-01-10","physical facilities","floors walls ceilings"
"FA0000447","2013-01-10","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000447","2013-01-10","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000447","2013-01-10","personnel","hygienic practices"
"FA0000447","2013-01-10","personnel","hands washed as needed"
"FA0000447","2013-01-10","food temperature control","cooling methods"
"FA0000447","2014-04-28","food temperature control","cold hold at 41 degrees or less"
"FA0000447","2017-04-20","personnel","training needed"
"FA0000447","2017-04-20","personnel","hands washed as needed"
"FA0000447","2017-04-20","food temperature control","adequate equipment to maintain food temperatures"
"FA0000447","2017-04-20","equipment/utensil cleaning","mechanical"
"FA0000447","2017-04-20","food source","consumer advisory"
"FA0000447","2017-04-20","food temperature control","hot hold at 135 degrees farenheit or greater"
"FA0000447","2017-04-20","food temperature control","cold hold at 41 degrees or less"
"FA0000447","2017-04-20","personnel","hygienic practices"
"FA0000447","2017-04-20","food temperature control","required cooking temperature"
"FA0000449","2013-01-16","food temperature control","cooling methods"
"FA0000449","2013-01-16","poisons/toxins","properly labeled"
"FA0000449","2013-01-16","toilets/handwashing","soap and drying devices"
"FA0000449","2013-01-16","food temperature control","cold hold at 41 degrees or less"
"FA0000449","2013-01-16","personnel","no bare hand contact"
"FA0000449","2013-01-16","personnel","hygienic practices"
"FA0000449","2013-01-16","toilets/handwashing","accessible"
"FA0000449","2013-01-16","personnel","training needed"
"FA0000449","2017-03-13","utensils","equipment utensils provided used, stored"
"FA0000449","2017-03-13","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000449","2017-03-13","personnel","smoking eating drinking"
"FA0000449","2017-03-13","equipment design/contstruction","non-food contact surfaces construction"
"FA0000449","2017-03-13","equipment/utensil cleaning","mechanical"
"FA0000449","2017-03-13","toilets/handwashing","soap and drying devices"
"FA0000449","2017-03-13","personnel","hands washed as needed"
"FA0000449","2017-03-13","personnel","no bare hand contact"
"FA0000451","2014-07-31","food temperature control","cold hold at 41 degrees or less"
"FA0000451","2014-07-31","food temperature control","cooling methods"
"FA0000451","2015-01-16","personnel","smoking eating drinking"
"FA0000451","2017-01-12","equipment/utensil cleaning","manual"
"FA0000455","2013-05-16","personnel","hands washed as needed"
"FA0000455","2013-05-16","personnel","training needed"
"FA0000455","2016-02-17","physical facilities","premises maintained"
